"IDG060. Live births by marital status and age of mother"

"Year";"Marital status of mother";"Total";"under 20";"20-24";"25-29";"30-34";"35-39";"40-44";"45+";"not specified"
"1958";"Total";35068;1349;9949;11340;8062;3341;874;116;37
"1958";"marital births";30552;1036;8792;10144;6969;2796;696;105;14
"1958";"extra-marital births";4516;313;1157;1196;1093;545;178;11;23
"1959";"Total";35028;1483;10395;10860;7789;3621;741;114;25
"1959";"marital births";30721;1120;9247;9742;6830;3083;606;85;8
"1959";"extra-marital births";4307;363;1148;1118;959;538;135;29;17
"1960";"Total";35468;1549;10619;11012;7740;3702;745;81;20
"1960";"marital births";31232;1169;9502;9931;6800;3143;611;69;7
"1960";"extra-marital births";4236;380;1117;1081;940;559;134;12;13
"1961";"Total";35993;1617;11425;10726;7673;3683;769;69;31
"1961";"marital births";31570;...;...;...;...;...;...;...;...
"1961";"extra-marital births";4423;...;...;...;...;...;...;...;...
"1962";"Total";35061;1621;11277;10639;7144;3441;868;60;11
"1962";"marital births";30704;...;...;...;...;...;...;...;...
"1962";"extra-marital births";4357;...;...;...;...;...;...;...;...
"1963";"Total";33843;1508;10535;10495;6959;3420;852;63;11
"1963";"marital births";29674;...;...;...;...;...;...;...;...
"1963";"extra-marital births";4169;...;...;...;...;...;...;...;...
"1964";"Total";33053;1354;10421;10486;6566;3303;858;57;8
"1964";"marital births";28829;1002;9191;9435;5730;2732;686;50;3
"1964";"extra-marital births";4224;352;1230;1051;836;571;172;7;5
"1965";"Total";31212;1374;9405;10361;6106;3117;797;48;4
"1965";"marital births";27059;1002;8246;9263;5304;2600;606;36;2
"1965";"extra-marital births";4153;372;1159;1098;802;517;191;12;2
"1966";"Total";31974;1544;9488;10791;6213;3073;832;33;...
"1966";"marital births";27937;1134;8385;9739;5426;2566;662;25;...
"1966";"extra-marital births";4037;410;1103;1052;787;507;170;8;...
"1967";"Total";32232;1840;9500;11007;6105;2985;762;33;...
"1967";"marital births";28253;1393;8453;9960;5345;2493;584;25;...
"1967";"extra-marital births";3979;447;1047;1047;760;492;178;8;...
"1968";"Total";32693;2109;9913;10712;6303;2877;735;35;9
"1968";"marital births";28752;1629;8868;9713;5564;2366;581;31;...
"1968";"extra-marital births";3941;480;1045;999;739;511;154;4;9
"1969";"Total";32915;2074;10643;10330;6463;2658;697;44;6
"1969";"marital births";30178;1679;9817;9706;5964;2370;604;38;...
"1969";"extra-marital births";2737;395;826;624;499;288;93;6;6
"1970";"Total";34333;2193;11599;10095;6809;2818;774;44;1
"1970";"marital births";30411;1682;10561;9149;6046;2341;599;33;...
"1970";"extra-marital births";3922;511;1038;946;763;477;175;11;1
"1971";"Total";35239;2291;12477;9610;7149;2933;726;53;...
"1971";"marital births";31338;1768;11410;8771;6346;2416;589;38;...
"1971";"extra-marital births";3901;523;1067;839;803;517;137;15;...
"1972";"Total";35007;2242;12673;9340;6999;2989;702;44;18
"1972";"marital births";30924;1645;11522;8524;6198;2460;525;36;14
"1972";"extra-marital births";4083;597;1151;816;801;529;177;8;4
"1973";"Total";34008;2384;12794;8811;6437;2862;675;45;...
"1973";"marital births";30026;1798;11629;8011;5654;2385;522;27;...
"1973";"extra-marital births";3982;586;1165;800;783;477;153;18;...
"1974";"Total";34920;2560;12978;9466;6165;3042;667;42;...
"1974";"marital births";30878;1981;11795;8625;5392;2541;514;30;...
"1974";"extra-marital births";4042;579;1183;841;773;501;153;12;...
"1975";"Total";34810;2617;13339;9691;5551;2969;607;36;...
"1975";"marital births";30735;1965;12156;8842;4828;2457;462;25;...
"1975";"extra-marital births";4075;652;1183;849;723;512;145;11;...
"1976";"Total";34644;2745;13514;9862;4957;2907;620;39;...
"1976";"marital births";30424;2090;12268;8978;4242;2360;459;27;...
"1976";"extra-marital births";4220;655;1246;884;715;547;161;12;...
"1977";"Total";34240;2914;13642;9782;4657;2633;579;33;...
"1977";"marital births";30095;2228;12393;8876;4021;2118;432;27;...
"1977";"extra-marital births";4145;686;1249;906;636;515;147;6;...
"1978";"Total";34258;3178;13923;9659;4518;2399;549;32;...
"1978";"marital births";30146;2428;12694;8765;3905;1926;401;27;...
"1978";"extra-marital births";4112;750;1229;894;613;473;148;5;...
