"IDG080. Live births by age of parents"

"Year";"Age of father";"Total";"age of mother under 20";"age of mother 20-24";"age of mother 25-29";"age of mother 30-34";"age of mother 35-39";"age of mother 40-44";"age of mother 45+";"age of mother not specified"
"2009";"age of father 40-44";1382;9;60;198;375;547;188;5;0
"2009";"age of father 45-49";489;0;15;73;145;165;83;8;0
"2009";"age of father 50+";260;3;16;36;63;84;48;10;0
"2009";"age of father not specified";1529;296;495;323;223;135;42;2;13
"2010";"Total";19781;1152;4649;6461;4611;2309;556;27;16
"2010";"age of father under 20";238;164;68;6;0;0;0;0;0
"2010";"age of father 20-24";2614;511;1582;435;69;16;1;0;0
"2010";"age of father 25-29";5521;163;1725;2865;632;118;17;1;0
"2010";"age of father 30-34";4888;45;564;1953;1897;390;37;2;0
"2010";"age of father 35-39";3027;15;181;614;1213;893;109;2;0
"2010";"age of father 40-44";1353;5;52;196;381;513;199;7;0
"2010";"age of father 45-49";510;1;29;64;129;170;111;6;0
"2010";"age of father 50+";240;1;17;39;54;80;45;4;0
"2010";"age of father not specified";1390;247;431;289;236;129;37;5;16
"2011";"Total";18825;1121;4156;6150;4518;2317;522;18;23
"2011";"age of father under 20";266;189;67;9;1;0;0;0;0
"2011";"age of father 20-24";2308;464;1352;390;81;19;2;0;0
"2011";"age of father 25-29";5184;183;1588;2690;590;115;17;1;0
"2011";"age of father 30-34";4694;40;520;1885;1837;377;35;0;0
"2011";"age of father 35-39";3074;15;174;634;1238;907;101;5;0
"2011";"age of father 40-44";1300;5;42;183;343;523;201;3;0
"2011";"age of father 45-49";437;2;14;54;132;153;78;4;0
"2011";"age of father 50+";241;1;12;36;60;82;46;4;0
"2011";"age of father not specified";1321;222;387;269;236;141;42;1;23
"2012";"Total";19897;1043;4181;6721;4800;2567;550;22;13
"2012";"age of father under 20";408;260;125;12;7;4;0;0;0
"2012";"age of father 20-24";2675;417;1572;545;102;38;1;0;0
"2012";"age of father 25-29";5860;145;1514;3258;779;146;18;0;0
"2012";"age of father 30-34";4977;44;434;1862;2060;513;61;3;0
"2012";"age of father 35-39";2959;13;139;552;1132;1009;112;2;0
"2012";"age of father 40-44";1308;9;30;176;388;500;199;6;0
"2012";"age of father 45-49";424;3;19;62;100;144;89;7;0
"2012";"age of father 50+";236;1;10;26;61;91;43;4;0
"2012";"age of father not specified";1050;151;338;228;171;122;27;0;13
"2013";"Total";20596;935;4058;6967;5188;2741;669;29;9
"2013";"age of father under 20";216;148;62;4;2;0;0;0;0
"2013";"age of father 20-24";2265;430;1341;383;77;33;1;0;0
"2013";"age of father 25-29";5779;151;1630;3152;699;128;18;1;0
